feature,importance,pt
12,0.12542766,Abdominal infection
13,0.057264123,Abdominal infection
14,0.015991434,Abdominal infection
15,0.016575843,Abdominal infection
16,0.075981155,Abdominal infection
17,0.022608986,Abdominal infection
18,0.0068790736,Abdominal infection
19,0.0059346026,Abdominal infection
20,0.01601485,Abdominal infection
21,0.014379583,Abdominal infection
22,0.113516875,Abdominal infection
23,0.07889175,Abdominal infection
24,0.0118537685,Abdominal infection
25,0.0129613755,Abdominal infection
0,0.010341469,Abdominal injury
1,0.013811392,Abdominal injury
2,0.012073867,Abdominal injury
3,0.101127364,Abdominal injury
4,0.03498245,Abdominal injury
5,0.037668563,Abdominal injury
6,0.0022084173,Abdominal injury
7,0.019883286,Abdominal injury
8,0.027502175,Abdominal injury
9,0.059825327,Abdominal injury
10,0.0034292398,Abdominal injury
11,0.027721358,Abdominal injury
12,0.098027766,Abdominal injury
13,0.058030967,Abdominal injury
14,0.015959017,Abdominal injury
15,0.05345218,Abdominal injury
16,0.038567737,Abdominal injury
17,0.08517719,Abdominal injury
18,0.061430067,Abdominal injury
19,0.010626261,Abdominal injury
20,0.019097812,Abdominal injury
21,0.041686315,Abdominal injury
22,0.12573805,Abdominal injury
23,0.0010985453,Abdominal injury
24,0.02991421,Abdominal injury
25,0.010618948,Abdominal injury
0,0.0072815185,Abdominal mass
1,0.06297957,Abdominal mass
2,0.025493583,Abdominal mass
3,0.018394116,Abdominal mass
4,0.07110836,Abdominal mass
5,0.087985255,Abdominal mass
6,0.013419086,Abdominal mass
7,0.063357495,Abdominal mass
8,0.0052859643,Abdominal mass
9,0.080024175,Abdominal mass
10,0.039307337,Abdominal mass
11,0.01827904,Abdominal mass
12,0.08807627,Abdominal mass
13,0.048191223,Abdominal mass
14,0.0062266076,Abdominal mass
15,0.013437062,Abdominal mass
16,0.055673297,Abdominal mass
17,0.005735835,Abdominal mass
18,0.013266605,Abdominal mass
19,0.0074140555,Abdominal mass
20,0.056025118,Abdominal mass
21,0.01663604,Abdominal mass
22,0.074209794,Abdominal mass
23,0.052636977,Abdominal mass
24,0.023198817,Abdominal mass
25,0.046356775,Abdominal mass
0,0.052629035,Abdominal neoplasm
1,0.028409813,Abdominal neoplasm
2,0.036210474,Abdominal neoplasm
3,0.04947288,Abdominal neoplasm
4,0.13548972,Abdominal neoplasm
5,0.01569725,Abdominal neoplasm
6,0.010277147,Abdominal neoplasm
7,0.021767266,Abdominal neoplasm
8,0.0026717624,Abdominal neoplasm
9,0.06222439,Abdominal neoplasm
10,0.0046039843,Abdominal neoplasm
11,0.003195,Abdominal neoplasm
12,0.03256224,Abdominal neoplasm
13,0.008861695,Abdominal neoplasm
14,0.00140619,Abdominal neoplasm
15,0.013485699,Abdominal neoplasm
16,0.021874182,Abdominal neoplasm
17,0.0114878435,Abdominal neoplasm
18,0.09520305,Abdominal neoplasm
19,0.013365083,Abdominal neoplasm
20,0.035839055,Abdominal neoplasm
21,0.060921796,Abdominal neoplasm
22,0.18977703,Abdominal neoplasm
23,0.01171263,Abdominal neoplasm
24,0.073637895,Abdominal neoplasm
25,0.0072168903,Abdominal neoplasm
0,0.05630832,Abdominal operation
1,0.10719017,Abdominal operation
2,0.009857168,Abdominal operation
3,0.05615958,Abdominal operation
4,0.13374741,Abdominal operation
5,0.010879089,Abdominal operation
6,0.0011115053,Abdominal operation
7,0.005254107,Abdominal operation
8,0.02767867,Abdominal operation
9,0.08693778,Abdominal operation
10,0.011961474,Abdominal operation
11,0.026564054,Abdominal operation
12,0.107795715,Abdominal operation
13,0.045920126,Abdominal operation
14,0.021640223,Abdominal operation
15,0.0070400443,Abdominal operation
16,0.015846875,Abdominal operation
17,0.011210522,Abdominal operation
18,0.03439666,Abdominal operation
19,0.008860173,Abdominal operation
20,0.038755827,Abdominal operation
21,0.017789032,Abdominal operation
22,0.034680255,Abdominal operation
23,0.10421978,Abdominal operation
24,0.0062619173,Abdominal operation
25,0.011933564,Abdominal operation
0,0.07342799,Abdominal pain
1,0.025506884,Abdominal pain
2,0.0513354,Abdominal pain
3,0.026542168,Abdominal pain
4,0.08367488,Abdominal pain
5,0.019150805,Abdominal pain
6,0.004660386,Abdominal pain
7,0.01842488,Abdominal pain
8,0.035302132,Abdominal pain
9,0.09377294,Abdominal pain
10,0.0074034617,Abdominal pain
11,0.027697083,Abdominal pain
12,0.0728131,Abdominal pain
13,0.0057387576,Abdominal pain
14,0.005911292,Abdominal pain
15,0.03796916,Abdominal pain
16,0.05554082,Abdominal pain
17,0.05589877,Abdominal pain
18,0.027664907,Abdominal pain
19,0.036467962,Abdominal pain
20,0.020402463,Abdominal pain
21,0.027737942,Abdominal pain
22,0.073875494,Abdominal pain
23,0.060023766,Abdominal pain
24,0.01500759,Abdominal pain
25,0.038048852,Abdominal pain
0,0.012448275,Abdominal pain lower
1,0.038497854,Abdominal pain lower
2,0.004774802,Abdominal pain lower
3,0.070192955,Abdominal pain lower
4,0.100372136,Abdominal pain lower
5,0.012015588,Abdominal pain lower
6,0.01622253,Abdominal pain lower
7,0.025017893,Abdominal pain lower
8,0.0075689056,Abdominal pain lower
9,0.024069482,Abdominal pain lower
10,0.014577242,Abdominal pain lower
11,0.05247914,Abdominal pain lower
12,0.10934431,Abdominal pain lower
13,0.00012423581,Abdominal pain lower
14,0.016441599,Abdominal pain lower
15,0.048025634,Abdominal pain lower
16,0.024563335,Abdominal pain lower
17,0.062446315,Abdominal pain lower
18,0.03661825,Abdominal pain lower
19,0.008996875,Abdominal pain lower
20,0.052662157,Abdominal pain lower
21,0.015683394,Abdominal pain lower
22,0.025528023,Abdominal pain lower
23,0.13387607,Abdominal pain lower
24,0.015880002,Abdominal pain lower
25,0.07157296,Abdominal pain lower
0,0.01697449,Abdominal pain upper
1,0.006492233,Abdominal pain upper
2,0.013568709,Abdominal pain upper
3,0.04040904,Abdominal pain upper
4,0.10767601,Abdominal pain upper
5,0.032667734,Abdominal pain upper
6,0.020656751,Abdominal pain upper
7,0.041150413,Abdominal pain upper
8,0.0048470297,Abdominal pain upper
9,0.14579515,Abdominal pain upper
10,0.036299802,Abdominal pain upper
11,0.03602489,Abdominal pain upper
12,0.10303364,Abdominal pain upper
13,0.017847402,Abdominal pain upper
14,0.0022227669,Abdominal pain upper
15,0.015992155,Abdominal pain upper
16,0.028493596,Abdominal pain upper
17,0.06071262,Abdominal pain upper
18,0.02130664,Abdominal pain upper
