feature,importance,pt
5,0.0,Abnormal weight gain
6,0.0,Abnormal weight gain
7,0.076172754,Abnormal weight gain
8,0.0,Abnormal weight gain
9,0.020277254,Abnormal weight gain
10,0.034411382,Abnormal weight gain
11,0.040951554,Abnormal weight gain
12,0.1643353,Abnormal weight gain
13,0.022758774,Abnormal weight gain
14,0.05923841,Abnormal weight gain
15,0.06951707,Abnormal weight gain
16,0.1518295,Abnormal weight gain
17,0.050151575,Abnormal weight gain
18,0.0,Abnormal weight gain
19,0.026097503,Abnormal weight gain
20,0.021706285,Abnormal weight gain
21,0.0,Abnormal weight gain
22,0.020172682,Abnormal weight gain
23,0.0,Abnormal weight gain
24,0.029733235,Abnormal weight gain
25,0.024468675,Abnormal weight gain
0,0.10652644,Abdominal wall wound
1,0.019365303,Abdominal wall wound
2,0.020536412,Abdominal wall wound
3,0.0150277205,Abdominal wall wound
4,0.10501515,Abdominal wall wound
5,0.06568262,Abdominal wall wound
6,0.0424161,Abdominal wall wound
7,0.10573405,Abdominal wall wound
8,0.0,Abdominal wall wound
9,0.015323125,Abdominal wall wound
10,0.0,Abdominal wall wound
11,0.028056959,Abdominal wall wound
12,0.06885805,Abdominal wall wound
13,0.018287513,Abdominal wall wound
14,0.018554287,Abdominal wall wound
15,0.021757709,Abdominal wall wound
16,0.050773263,Abdominal wall wound
17,0.0,Abdominal wall wound
18,0.0,Abdominal wall wound
19,0.019710507,Abdominal wall wound
20,0.03405627,Abdominal wall wound
21,0.04174546,Abdominal wall wound
22,0.17852974,Abdominal wall wound
23,0.024043342,Abdominal wall wound
24,0.0,Abdominal wall wound
25,0.0,Abdominal wall wound
0,0.023267789,Abdominal wall haemorrhage
1,0.018503048,Abdominal wall haemorrhage
2,0.038119283,Abdominal wall haemorrhage
3,0.050640106,Abdominal wall haemorrhage
4,0.0,Abdominal wall haemorrhage
5,0.026772102,Abdominal wall haemorrhage
6,0.022376234,Abdominal wall haemorrhage
7,0.015182366,Abdominal wall haemorrhage
8,0.013905661,Abdominal wall haemorrhage
9,0.04733002,Abdominal wall haemorrhage
10,0.076838695,Abdominal wall haemorrhage
11,0.022193354,Abdominal wall haemorrhage
12,0.13981128,Abdominal wall haemorrhage
13,0.029333077,Abdominal wall haemorrhage
14,0.0,Abdominal wall haemorrhage
15,0.06750837,Abdominal wall haemorrhage
16,0.024163703,Abdominal wall haemorrhage
17,0.0412951,Abdominal wall haemorrhage
18,0.024428377,Abdominal wall haemorrhage
19,0.058049053,Abdominal wall haemorrhage
20,0.018049074,Abdominal wall haemorrhage
21,0.0,Abdominal wall haemorrhage
22,0.11872415,Abdominal wall haemorrhage
23,0.043283407,Abdominal wall haemorrhage
24,0.029702548,Abdominal wall haemorrhage
25,0.05052312,Abdominal wall haemorrhage
0,0.042313796,Abnormal faeces
1,0.024056809,Abnormal faeces
2,0.035055265,Abnormal faeces
3,0.06430871,Abnormal faeces
4,0.03209218,Abnormal faeces
5,0.057346813,Abnormal faeces
6,0.052492943,Abnormal faeces
7,0.018272897,Abnormal faeces
8,0.048467398,Abnormal faeces
9,0.0,Abnormal faeces
10,0.03845885,Abnormal faeces
11,0.047697045,Abnormal faeces
12,0.035797946,Abnormal faeces
13,0.045458693,Abnormal faeces
14,0.030696351,Abnormal faeces
15,0.03658097,Abnormal faeces
16,0.013975674,Abnormal faeces
17,0.0150934635,Abnormal faeces
18,0.025526512,Abnormal faeces
19,0.03892234,Abnormal faeces
20,0.06902119,Abnormal faeces
21,0.015772915,Abnormal faeces
22,0.09599181,Abnormal faeces
23,0.025676021,Abnormal faeces
24,0.034705333,Abnormal faeces
25,0.05621808,Abnormal faeces
0,0.061926223,Abdominal mass
1,0.021507017,Abdominal mass
2,0.03530945,Abdominal mass
3,0.065360606,Abdominal mass
4,0.02000795,Abdominal mass
5,0.04257679,Abdominal mass
6,0.025224501,Abdominal mass
7,0.07470739,Abdominal mass
8,0.015776584,Abdominal mass
9,0.0,Abdominal mass
10,0.011506829,Abdominal mass
11,0.02033526,Abdominal mass
12,0.04925659,Abdominal mass
13,0.020903977,Abdominal mass
14,0.027297232,Abdominal mass
15,0.08901337,Abdominal mass
16,0.013742909,Abdominal mass
17,0.055920545,Abdominal mass
18,0.016061267,Abdominal mass
19,0.022415701,Abdominal mass
20,0.0750714,Abdominal mass
21,0.027366184,Abdominal mass
22,0.14720787,Abdominal mass
23,0.019717732,Abdominal mass
24,0.0,Abdominal mass
25,0.041786663,Abdominal mass
0,0.038451806,ADAMTS13 activity decreased
1,0.07745731,ADAMTS13 activity decreased
2,0.023716195,ADAMTS13 activity decreased
3,0.01982806,ADAMTS13 activity decreased
4,0.018635238,ADAMTS13 activity decreased
5,0.039157268,ADAMTS13 activity decreased
6,0.013410995,ADAMTS13 activity decreased
7,0.024328228,ADAMTS13 activity decreased
8,0.027930645,ADAMTS13 activity decreased
9,0.061065394,ADAMTS13 activity decreased
10,0.01626563,ADAMTS13 activity decreased
11,0.07191258,ADAMTS13 activity decreased
12,0.08911605,ADAMTS13 activity decreased
13,0.064914234,ADAMTS13 activity decreased
14,0.026930988,ADAMTS13 activity decreased
15,0.032538768,ADAMTS13 activity decreased
16,0.0,ADAMTS13 activity decreased
17,0.0,ADAMTS13 activity decreased
18,0.019603739,ADAMTS13 activity decreased
19,0.026765173,ADAMTS13 activity decreased
20,0.02094095,ADAMTS13 activity decreased
21,0.025176313,ADAMTS13 activity decreased
22,0.10545488,ADAMTS13 activity decreased
23,0.019319696,ADAMTS13 activity decreased
24,0.060619403,ADAMTS13 activity decreased
25,0.07646052,ADAMTS13 activity decreased
0,0.064730816,Abscess bacterial
1,0.02987595,Abscess bacterial
2,0.063935004,Abscess bacterial
3,0.076085985,Abscess bacterial
4,0.010123427,Abscess bacterial
5,0.046887636,Abscess bacterial
6,0.0,Abscess bacterial
7,0.0646983,Abscess bacterial
8,0.0,Abscess bacterial
9,0.0108608175,Abscess bacterial
10,0.042163856,Abscess bacterial
11,0.03122016,Abscess bacterial
12,0.08633719,Abscess bacterial
13,0.0127763385,Abscess bacterial
14,0.066725805,Abscess bacterial
15,0.042800903,Abscess bacterial
